timestamps,x,y,z,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-08-06 10:25:53.880,-0.7779,0.38299999999999995,0.5129,0,0,31.6
2019-08-06 10:25:53.900,-0.9833,0.7162,0.5049,0,0,31.6
2019-08-06 10:25:53.920,-0.7976,0.6809,0.4174,0,0,31.6
2019-08-06 10:25:53.940,-0.8174,0.3986,0.3856,0,0,31.6
2019-08-06 10:25:53.960,-0.7345,0.3202,0.4055,0,0,31.6
2019-08-06 10:25:53.980,-0.6515,0.5868,0.49700000000000005,0,0,31.6
2019-08-06 10:25:54.000,-0.6831,0.5084,0.4055,0,0,31.6
2019-08-06 10:25:54.020,-0.5015,0.7397,0.501,0,0,31.6
2019-08-06 10:25:54.040,-0.7147,0.5947,0.3777,0,0,31.6
2019-08-06 10:25:54.060,-0.7424,0.4888,0.3856,0,0,31.6
2019-08-06 10:25:54.080,-0.6278,0.5437,0.4811,0,0,31.6
2019-08-06 10:25:54.100,-0.6831,0.6143,0.4811,0,0,31.6
2019-08-06 10:25:54.120,-0.8253,0.4966,0.4413,0,0,31.6
2019-08-06 10:25:54.140,0.2568,0.5751,-0.1314,0,0,31.6
2019-08-06 10:25:54.160,-1.2913,0.7828,0.6004,0,0,31.6
2019-08-06 10:25:54.180,-0.5173,0.4339,0.33,0,0,31.6
2019-08-06 10:25:54.200,-0.8964,0.6182,0.322,0,0,31.6
2019-08-06 10:25:54.220,2.3893,-2.3102,2.1871,0,0,31.6
2019-08-06 10:25:54.240,2.8158,-1.1067,2.5291,0,0,31.6
2019-08-06 10:25:54.260,-1.0306,0.5398,0.2902,0,0,31.6
2019-08-06 10:25:54.280,-0.5094,0.3751,0.6559999999999999,0,0,31.6
2019-08-06 10:25:54.300,-0.5804,0.1752,0.1947,0,0,31.6
2019-08-06 10:25:54.320,-0.7345,0.3555,0.5725,0,0,31.6
2019-08-06 10:25:54.340,0.8689,-0.2795,2.891,0,0,31.6
2019-08-06 10:25:54.360,-0.7108,0.4143,0.3856,0,0,31.6
2019-08-06 10:25:54.380,-0.6357,0.4927,0.493,0,0,31.6
2019-08-06 10:25:54.400,-0.8964,0.3869,0.5487,0,0,31.6
2019-08-06 10:25:54.420,-0.6397,0.5555,0.3936,0,0,31.6
2019-08-06 10:25:54.440,-0.3277,0.3516,0.3419,0,0,31.6
2019-08-06 10:25:54.460,1.094,0.528,0.8748,0,0,31.6
2019-08-06 10:25:54.480,-0.9043,-0.2129,-0.0081,0,0,31.6
2019-08-06 10:25:54.500,-2.3891,1.7041,-1.1613,0,0,31.6
2019-08-06 10:25:54.520,2.8593,-1.2439,0.664,0,0,31.6
2019-08-06 10:25:54.540,-0.5804,0.4143,0.4294,0,0,31.6
2019-08-06 10:25:54.560,-0.7029,0.2889,0.3419,0,0,31.6
2019-08-06 10:25:54.580,-0.8371,0.2732,0.4731,0,0,31.6
2019-08-06 10:25:54.600,-0.8766,0.2889,0.5845,0,0,31.6
2019-08-06 10:25:54.620,-1.0109,0.4026,0.5964,0,0,31.6
2019-08-06 10:25:54.640,-0.6515,0.4339,0.4612,0,0,31.6
2019-08-06 10:25:54.660,-0.8016,0.4026,0.4691,0,0,31.6
2019-08-06 10:25:54.680,-0.7621,0.285,0.5646,0,0,31.6
2019-08-06 10:25:54.700,-0.8055,0.2144,0.3777,19,0,31.6
2019-08-06 10:25:54.720,-0.3198,-0.4912,0.1868,19,0,31.6
2019-08-06 10:25:54.740,-0.4975,0.1242,0.1669,38,0,31.6
2019-08-06 10:25:54.760,-1.2399,-0.0914,0.0794,19,0,31.6
2019-08-06 10:25:54.780,-0.8727,-1.0401,-0.1393,19,0,31.6
2019-08-06 10:25:54.800,-1.0464,0.1556,0.5169,19,0,31.6
2019-08-06 10:25:54.820,-0.8766,0.2262,0.6083,19,0,31.6
2019-08-06 10:25:54.840,-0.9793,-0.0247,0.4612,19,0,31.6
2019-08-06 10:25:54.860,-0.3553,-0.1423,0.7674,0,0,31.6
2019-08-06 10:25:54.880,-0.6871,0.0811,0.6759,0,0,31.6
2019-08-06 10:25:54.900,-0.8055,-0.0639,0.7515,0,0,31.6
2019-08-06 10:25:54.920,-0.7424,0.1321,0.9304,0,0,31.6
2019-08-06 10:25:54.940,-0.6436,0.1242,0.5725,0,0,31.6
2019-08-06 10:25:54.960,-0.7266,0.1438,0.5328,0,0,31.6
2019-08-06 10:25:54.980,-0.4896,0.0929,0.6839,0,0,31.6
2019-08-06 10:25:55.000,-0.4699,0.1242,0.6004,0,0,31.6
2019-08-06 10:25:55.020,-0.1342,0.0145,0.9145,0,0,31.6
2019-08-06 10:25:55.040,-0.4185,-0.0169,0.9821,0,0,31.6
2019-08-06 10:25:55.060,-0.6318,0.2066,0.9464,0,0,31.6
2019-08-06 10:25:55.080,-0.7226,0.183,0.6679999999999999,0,0,31.6
2019-08-06 10:25:55.100,-0.4383,0.0419,0.4174,0,0,31.6
2019-08-06 10:25:55.120,-0.8253,0.1987,0.8628,0,0,31.6
2019-08-06 10:25:55.140,-0.5054,0.4418,0.5288,0,0,31.6
2019-08-06 10:25:55.160,0.2291,0.1203,1.1054,0,0,31.6
2019-08-06 10:25:55.180,-0.308,0.1085,1.0577,0,0,31.6
2019-08-06 10:25:55.200,-0.6199,0.1438,0.9941,0,0,31.6
2019-08-06 10:25:55.220,-0.4067,0.1046,0.843,0,0,31.6
2019-08-06 10:25:55.240,-0.5725,0.1595,0.7316,0,0,31.6
2019-08-06 10:25:55.260,-0.9279999999999999,0.0733,1.4792,0,0,31.6
2019-08-06 10:25:55.280,-0.4975,0.1556,0.4612,0,0,31.6
2019-08-06 10:25:55.300,-0.6831,0.43,0.6362,0,0,31.6
2019-08-06 10:25:55.320,-0.1579,-0.06,0.4811,0,0,31.6
2019-08-06 10:25:55.340,0.5214,1.7511,0.9344,0,0,31.6
2019-08-06 10:25:55.360,-0.5133,0.1987,0.672,0,0,31.6
2019-08-06 10:25:55.380,-0.4264,0.3281,0.9185,0,0,31.6
2019-08-06 10:25:55.400,-0.4343,0.3555,0.8072,0,0,31.6
2019-08-06 10:25:55.420,-0.4146,0.2301,0.835,0,0,31.6
2019-08-06 10:25:55.440,-0.3514,0.285,0.9304,0,0,31.6
2019-08-06 10:25:55.460,-0.2369,0.4026,1.0855,0,0,31.6
2019-08-06 10:25:55.480,-0.2724,0.285,0.8589,0,0,31.6
2019-08-06 10:25:55.500,-0.2092,0.3124,0.6958,0,0,31.6
2019-08-06 10:25:55.520,-0.4462,0.0301,1.0736,0,0,31.6
